Date,Currency,Exchange
2015-01-01,USD,1
2015-01-01,CAD,1.1583
2015-01-01,AUD,1.2214
2015-01-01,EUR,0.8237
2015-01-01,GBP,0.6415
2015-01-02,USD,1
2015-01-02,CAD,1.1682
2015-01-02,AUD,1.2323
2015-01-02,EUR,0.8304
2015-01-02,GBP,0.6477
2015-01-03,USD,1
2015-01-03,CAD,1.1682
2015-01-03,AUD,1.2323
2015-01-03,EUR,0.8304
2015-01-03,GBP,0.6477
2015-01-04,USD,1
2015-01-04,CAD,1.1682
2015-01-04,AUD,1.2323
2015-01-04,EUR,0.8304
2015-01-04,GBP,0.6477
2015-01-05,USD,1
2015-01-05,CAD,1.1784
2015-01-05,AUD,1.2384
2015-01-05,EUR,0.8393
2015-01-05,GBP,0.6569
2015-01-06,USD,1
2015-01-06,CAD,1.1763
2015-01-06,AUD,1.2288
2015-01-06,EUR,0.8393
2015-01-06,GBP,0.6582
2015-01-07,USD,1
2015-01-07,CAD,1.183
2015-01-07,AUD,1.2391
2015-01-07,EUR,0.8452
2015-01-07,GBP,0.6612
2015-01-08,USD,1
2015-01-08,CAD,1.1816
2015-01-08,AUD,1.2337
2015-01-08,EUR,0.8498
2015-01-08,GBP,0.6637
2015-01-09,USD,1
2015-01-09,CAD,1.182
2015-01-09,AUD,1.228
2015-01-09,EUR,0.8465
2015-01-09,GBP,0.6602
2015-01-10,USD,1
2015-01-10,CAD,1.182
2015-01-10,AUD,1.228
2015-01-10,EUR,0.8465
2015-01-10,GBP,0.6602
2015-01-11,USD,1
2015-01-11,CAD,1.182
2015-01-11,AUD,1.228
2015-01-11,EUR,0.8465
2015-01-11,GBP,0.6602
2015-01-12,USD,1
2015-01-12,CAD,1.1897
2015-01-12,AUD,1.2282
2015-01-12,EUR,0.8472
2015-01-12,GBP,0.66
2015-01-13,USD,1
2015-01-13,CAD,1.1966
2015-01-13,AUD,1.2257
2015-01-13,EUR,0.8488
2015-01-13,GBP,0.6592
2015-01-14,USD,1
2015-01-14,CAD,1.1965
2015-01-14,AUD,1.2291
2015-01-14,EUR,0.8493
2015-01-14,GBP,0.6584
2015-01-15,USD,1
2015-01-15,CAD,1.1834
2015-01-15,AUD,1.208
2015-01-15,EUR,0.8541
2015-01-15,GBP,0.6553
2015-01-16,USD,1
2015-01-16,CAD,1.2035
2015-01-16,AUD,1.2179
2015-01-16,EUR,0.863
2015-01-16,GBP,0.659
2015-01-17,USD,1
2015-01-17,CAD,1.2035
2015-01-17,AUD,1.2179
2015-01-17,EUR,0.863
2015-01-17,GBP,0.659
2015-01-18,USD,1
2015-01-18,CAD,1.2035
2015-01-18,AUD,1.2179
2015-01-18,EUR,0.863
2015-01-18,GBP,0.659
2015-01-19,USD,1
2015-01-19,CAD,1.1983
2015-01-19,AUD,1.2179
2015-01-19,EUR,0.8617
2015-01-19,GBP,0.6604
2015-01-20,USD,1
2015-01-20,CAD,1.2013
2015-01-20,AUD,1.2197
2015-01-20,EUR,0.8636
2015-01-20,GBP,0.6596
2015-01-21,USD,1
2015-01-21,CAD,1.2075
2015-01-21,AUD,1.2174
2015-01-21,EUR,0.8626
2015-01-21,GBP,0.6617
2015-01-22,USD,1
2015-01-22,CAD,1.2354
2015-01-22,AUD,1.2308
2015-01-22,EUR,0.8607
2015-01-22,GBP,0.6579
2015-01-23,USD,1
2015-01-23,CAD,1.2446
2015-01-23,AUD,1.2653
2015-01-23,EUR,0.893
2015-01-23,GBP,0.6674
2015-01-24,USD,1
2015-01-24,CAD,1.2446
2015-01-24,AUD,1.2653
2015-01-24,EUR,0.893
2015-01-24,GBP,0.6674
2015-01-25,USD,1
2015-01-25,CAD,1.2446
2015-01-25,AUD,1.2653
2015-01-25,EUR,0.893
2015-01-25,GBP,0.6674
2015-01-26,USD,1
2015-01-26,CAD,1.2459
2015-01-26,AUD,1.2653
2015-01-26,EUR,0.8894
2015-01-26,GBP,0.6661
2015-01-27,USD,1
2015-01-27,CAD,1.2458
2015-01-27,AUD,1.2589
2015-01-27,EUR,0.8845
2015-01-27,GBP,0.6609
2015-01-28,USD,1
2015-01-28,CAD,1.2421
